#star_name	spectral_type	m_M	m_M_err	app_mag_J	app_mag_J_err	app_mag_H	app_mag_H_err	app_mag_K	app_mag_K_err	app_mag_3.6	app_mag_3.6_err	app_mag_4.5	app_mag_4.5_err	app_mag_5.8	app_mag_5.8_err	app_mag_8.0	app_mag_8.0_err
2MASSW_J0030300-145033      	L7.0	2.13	0.27	16.28	11	15.27	10	14.48	10	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2MASSW_J0036159+182110      	L3.5	-0.288	0.015	12.47	3	11.59	3	11.06	2	10.19	3	10.24	3	10.1	3	10.06	3
2MASSW_J0326137+295015      	L3.5	2.54	0.11	15.48	5	14.4	5	13.84	5	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2MASSW_J1200329+204851      	M7.0	2.4	0.8	12.86	2	12.26	2	11.86	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2MASSW_J1207334-393254      	M8.0	3.59	0.05	13	3	12.39	3	11.95	3	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2MASSW_J1328550+211449      	L5.0	2.54	0.27	16.19	11	15	8	14.27	8	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2MASSW_J1439284+192915      	L1.0	0.787	0.016	12.76	2	12.04	2	11.55	2	10.91	2	10.93	3	10.82	3	10.67	2
2MASSW_J1503196+252519      	T6.0	-0.98	0.03	13.94	2	13.86	3	13.96	6	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2MASSW_J1507476-162738      	L5.0	-0.674	0.01	12.83	3	11.9	2	11.31	3	10.27	3	10.4	3	10.14	3	9.99	3
2MASSW_J1632291+190441      	L8.0	0.92	0.07	15.87	7	14.61	4	14	5	12.7	3	12.65	3	12.24	5	12	5
2MASSW_J1658037+702701      	L1.0	1.342	0.028	13.29	2	12.47	3	11.91	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2MASSW_J2224438-015852      	L4.5	0.323	0.028	14.07	3	12.82	3	12.02	2	11.05	3	11.14	3	10.85	3	10.81	3
AB_Pic_b                    	L0.5	3.32	0.07	16.18	10	14.69	10	14.14	8	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
APMPM_J2330-4737            	M6.0	0.69	0.1	11.23	2	10.64	3	10.28	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
APMPM_J2331-2750            	M7.5	0.8	0.06	11.65	2	11.06	3	10.65	3	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
APMPM_J2344-2906            	M6.5	2.5	0.3	13.26	3	12.75	2	12.43	3	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
APMPM_J2354-3316C           	M8.5	1.77	0.09	13.05	2	12.36	3	11.88	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
APMPM_J2359-6246            	-99.9	1.59	0.1	11.39	3	10.83	2	10.52	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
BRI_0021-0214               	M9.5	0.31	0.1	11.99	4	11.08	2	10.54	2	9.94	3	9.91	3	9.72	3	9.55	3
BRI_B0246-1703              	M8.0	1.05	0.19	12.55	2	11.87	2	11.42	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
BRI_B1222-1222              	M9.0	1.16	0.14	12.57	2	11.82	3	11.35	3	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
CE_507                      	M6.0	0.92	0.08	10.73	3	10.14	3	9.83	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
CTI_012657.5+280202         	M8.5	2.58	0.04	14.04	3	13.36	3	12.86	3	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
DENIS_J081730.0-615520      	T6.0	-1.54	0.14	13.61	2	13.53	3	13.52	4	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
DENIS-P_J0255.0-4700        	L8.0	-1.52	0.04	13.25	3	12.2	2	11.56	2	10.29	2	10.2	2	9.89	1	9.61	1
DENIS-P_J0909.9-0658        	L0.0	1.86	0.22	13.89	2	13.09	2	12.54	3	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
DENIS-P_J1058.7-1548        	L3.0	1.19	0.04	14.15	4	13.23	3	12.53	3	11.76	3	11.77	3	11.6	3	11.5	3
DENIS-P_J153941.9-052042    	L4.0	0.95	0.12	13.92	3	13.06	3	12.57	3	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
