#wavelength	flux
114.9141417	2.53E+06
114.9428738	2.41E+06
114.9716131	2.11E+06
115.0003596	2.31E+06
115.0291132	2.09E+06
115.0578741	1.61E+06
115.0866421	1.90E+06
115.1154174	2.48E+06
115.1441998	2.79E+06
115.1729894	2.41E+06
115.2017862	1.68E+06
115.2305902	1.56E+06
115.2594015	1.89E+06
115.2882199	1.80E+06
115.3170455	1.79E+06
115.3458783	1.92E+06
115.3747184	1.95E+06
115.4035656	1.72E+06
115.4324201	1.73E+06
115.4612818	2.07E+06
115.4901507	2.30E+06
115.5190268	2.62E+06
115.5479102	2.44E+06
115.5768007	1.84E+06
115.6056985	1.49E+06
115.6346035	1.24E+06
115.6635157	1.27E+06
115.6924352	1.72E+06
115.7213619	1.61E+06
115.7502958	1.12E+06
115.779237	5.69E+05
115.8081854	4.01E+05
115.837141	4.64E+05
115.8661039	4.52E+05
115.895074	7.33E+05
115.9240514	1.33E+06
115.953036	1.69E+06
115.9820278	1.63E+06
116.0110269	1.59E+06
116.0400333	1.70E+06
116.0690469	1.77E+06
116.0980678	1.88E+06
116.1270959	1.83E+06
116.1561313	1.71E+06
116.1851739	1.64E+06
116.2142238	1.63E+06
116.2432809	1.73E+06
116.2723454	1.80E+06
116.3014171	1.76E+06
116.330496	1.70E+06
116.3595823	1.50E+06
116.3886758	1.19E+06
116.4177765	9.76E+05
116.4468846	9.23E+05
116.4759999	1.27E+06
116.5051225	1.57E+06
116.5342524	1.46E+06
116.5633896	1.21E+06
116.5925341	1.14E+06
116.6216858	1.26E+06
116.6508448	1.28E+06
116.6800112	1.01E+06
116.7091848	8.73E+05
116.7383657	8.78E+05
116.7675539	9.88E+05
116.7967494	9.62E+05
116.8259522	6.62E+05
116.8551623	7.17E+05
116.8843798	9.12E+05
116.9136045	8.63E+05
116.9428365	8.90E+05
116.9720758	8.06E+05
117.0013225	6.42E+05
117.0305764	5.59E+05
117.0598377	5.74E+05
117.0891063	6.45E+05
117.1183822	6.01E+05
117.1476654	5.44E+05
117.176956	6.12E+05
117.2062539	7.35E+05
117.2355591	7.13E+05
117.2648716	6.84E+05
117.2941914	7.14E+05
117.3235186	6.94E+05
117.3528531	6.79E+05
117.382195	5.91E+05
117.4115442	5.31E+05
117.4409007	6.08E+05
117.4702646	6.39E+05
117.4996358	5.55E+05
117.5290143	5.10E+05
117.5584002	4.99E+05
117.5877935	4.83E+05
117.6171941	5.00E+05
117.646602	4.44E+05
117.6760173	4.77E+05
117.70544	4.96E+05
117.73487	4.46E+05
117.7643073	4.27E+05
117.7937521	4.48E+05
117.8232041	4.76E+05
